Ticker,Nome,Negócios,Última (R$),Variação
CEDO4,Cedro Têxtil,100,"10,30","+0,10%"
BDLL3,Bardella,100,"7,70","-2,90%"
AFLT3,Afluente T,100,"7,12","-0,84%"
RPAD5,Alfa Holdings,100,"6,50","-5,80%"
BDLL4,Bardella,100,"6,50","-4,27%"
RPAD3,Alfa Holdings,100,"5,38","+0,75%"
RVEE3,REVEE S.A.,100,"2,89","+19,42%"
RVEE3,REVEE,100,"2,89","+19,42%"
BMKS3,Monark,37,"370,15","-4,85%"
DOHL4,Döhler,4.4,"3,71","+0,00%"
PTNT3,Pettenati,2.5,"8,77","-2,23%"
GEPA3,Rio Paranapanema Energia,1.6,"30,00","+1,32%"
RSUL4,Metalúrgica Riosulense,1.4,"69,86","+0,75%"
ENMT3,Energisa MT,700,"52,00","+4,44%"
BNBR3,Banco do Nordeste,200,"110,02","+0,11%"
MRSA3B,MRS Logística,200,"39,00","+5,41%"
MWET4,Wetzel,200,"8,63","+0,00%"
FRIO3,Metalfrio,100,"209,98","+24,25%"
BIOM11,Biomm,100,"2,75","+1,85%"
BGIP3,Banese,200,"38,49","+7,30%"
WLMM3,WLM,100,"20,40","+0,00%"
IGTI4,Jereissati Participações,100,"11,40","-0,78%"
IGTI4,Iguatemi,100,"11,40","-0,78%"
PSVM11,PORTO VM,2.2,"4,90","+0,00%"
PATI4,Panatlântica,2.1,"34,00","+8,42%"
PEAB4,Participações Aliança da Bahia,500,"38,99","+4,76%"
CGAS3,Comgás,300,"120,20","-1,48%"
BRKM6,Braskem,300,"9,00","+0,00%"
CTSA3,Santanense,300,"2,32","-12,45%"
EKTR3,Elektro,100,"49,20","+20,00%"
ADMF3,REAG TRUST S.A,120,"12,00","-33,33%"
SOND5,Sondotécnica,1.1,"65,59","+5,64%"
SOND6,Sondotécnica,100,"58,59","+0,00%"
AHEB3,São Paulo Turismo,100,"23,00","+0,00%"
PLAS3,Plascar,100,"4,99","+9,67%"
AZUL4,Azul,15.262.900,"0,81","-2,41%"
MRSA5B,MRS Logística,600,"40,00","-19,98%"
ENMT4,Energisa MT,300,"54,99","-0,74%"
CEEB5,COELBA,300,"39,00","+0,00%"
MRSA6B,MRS Logística,100,"44,50","-11,00%"
JBSS3,JBS,,,
CRFB3,Atacadão,,,
SULA11,Sul América,,,
SULA3,Sul América,,,
SULA4,Sul América,,,
